province,municipality,name,id,lon,lat,zone,ptmx,ptmy
SAMAR (WESTERN SAMAR),BASEY,"BBM No. 4, Pls 162, Basey Public Land Subdivision (Western Samar)",88096,125.0949743,11.34601263,5,510366.8275,1254601.141
SAMAR OF,OF CALBAYOG,"BLLM No. 1, of Calbayog, Province of Samar",88489,124.5933333,12.06833333,5,455725.4268,1334526.7
SAMAR OF,OF CALBAYOG,"BLLM No. 2, of Calbayog, Province of Samar",88490,124.5950264,12.06729334,5,455909.5912,1334411.389
SAMAR STA.,STA. RITA,"BBM No. 1, Pls 163, Sta. Rita Public Land Subdivision",88492,124.9926833,11.365175,5,499201.4098,1256718.919
SAMAR STA.,STA. RITA,"MBM No. 4, Pls 163, Sta. Rita Public Land Subdivision",88493,125.0035501,11.30469801,5,500387.5652,1250029.851
SARANGANI,MALUNGON,"BLLM No. 1, Cad 601, Malungon Cadastre",80321,125.271246,6.378243479,5A,530008.2491,705226.7222
SARANGANI,MAASIM,"SNI 3054, PRS92",80279,124.9745752,5.86363366,5A,497184.5402,648316.1957
SIQUIJOR,SIQUIJOR,"SQJ 3616, PRS 92",71411,123.5966721,9.200727147,4,565570.9101,1017390.793
SIQUIJOR,SAN JUAN,"BLLM No. 1, Cad 1122 D, San Juan Cadastre",71384,123.4920028,9.160233333,4,554074.181,1012894.939
SORSOGON,GUBAT,"P 188, Cad 308 D, Gubat Cadastre",88790,124.1253581,13.00342031,5,405116.1871,1438091.094
SORSOGON,BULAN,"BLLM No. 37, Cad 263, Bulan Cadastre",71517,123.8936109,12.69972333,4,597058.3406,1404500.41
SOUTH COTABATO,KORONADAL,"CTS 3119, PRS 92",80399,124.8978615,6.453251563,5A,488701.992,713514.0343
SOUTH COTABATO,KORONADAL,"CTS 3279, PRS 92",80415,124.9360308,6.484257277,5A,492924.5075,716941.8343
SOUTHERN LEYTE,MAASIN,"BBM No. 159, Cad 440 D, Maasin Cadastre",91542,124.8569998,10.1692549,5,484330.307,1124452.511
SOUTHERN LEYTE,MALITBOG,"BLBM No. 1, Bo. of Catadman, Municipality of Malitbog, Province of Southern Leyte",91717,125.0055248,10.13469845,5,500605.4653,1120627.239
STA. CRUZ,STA. CRUZ,"MBM No. 8, Cad 275, Sta. Cruz Cadastre",78145,125.1118092,6.540782735,5A,512365.5922,723193.1286
SULTAN,KUDARAT,"BLLM No. 37, Swo 17260",81107,124.6728478,6.593384718,5A,463822.0587,729020.1501
SULTAN,KUDARAT,"BLLM No. 38, Swo 17260",81106,124.6723508,6.590359165,5A,463766.8842,728685.6257
SULTAN KUDARAT,BULUAN,"BLLM No. 10, Pls 221, Buluan Public Land Subdivision",75339,124.8364172,6.579273323,5A,481909.8471,727450.8614
SULTAN KUDARAT,BULUAN,"BLLM No. 8, Pls 73, Buluan Public Land Subdivision",75470,124.7298441,6.70538719,5A,470131.7784,741401.3802
SULU,LUUK,"BLLM No. 24, Cad 160, Luuk Cadastre",2877,121.2918261,5.980549714,3A,532308.1335,661273.244
SULU,LUUK,"BLLM No. 14, Cad 160, Luuk Cadastre",2866,121.308678,5.928611784,3A,534177.0968,655531.2118
SURIGAO,ALEGRIA,"BLLM No. 6, Cad 836, Alegria Cadastre",81336,125.5746492,9.465346866,5A,563103.0438,1046652.857
SURIGAO,BACUAG,"BLLM No. 4, Pls 753, Bacuag Public Land Subdivision",81342,125.6166568,9.552406688,5A,567698.9975,1056289.423
SURIGAO DEL NORTE,SURIGAO,"BLLM No. 37, Cad 234, Surigao , Province of Surigao",82133,125.6481548,9.830371612,5A,571098.5607,1087038.74
SURIGAO DEL NORTE,SURIGAO,"BLLM No. 195, Cad 234, Surigao , Province of Surigao",82081,125.394948,9.70855134,5A,543338.5529,1073522.675
SURIGAO DEL SUR,TAGO,"S 19, Pls 710, Tago Public Land Subdivision",83306,126.2609643,8.984722688,5A,638664.3099,993686.6504
SURIGAO DEL SUR,CANTILAN,"P 163, Cad 354 D, Cantilan Cadastre",82596,125.9636958,9.33868398,5A,605866.3575,1032737.441
TARLAC,BAMBAN,"TRC 3370, PRS 92",42097,120.5576222,15.26432879,3,452482.327,1688097.968
TARLAC,CITY OF TARLAC,"BLLM No. 163, Cad 274, Tarlac Cadastre",43613,120.412262,15.44480409,3,436922.402,1708103.698
TAWI TAWI,CAGAYAN DE SULU,"TTW 7, PRS 92",346,118.4879589,7.017963425,2A,443424.5833,776008.6384
TAWI TAWI,MAPUN (CAGAYAN DE TAWI TAWI),"TTW 4002, PRS 92",349,118.4897069,7.019289403,2A,443617.8817,776155.058
ZAMBALES,SAN NARCISO,"Triangulation Station Ann, Municipality of San Narciso, Province of Zambales",44525,120.0625776,14.99194079,3,399175.7554,1658126.535
ZAMBALES,BOTOLAN,"BLLM No. 13, Cad 614 D, Botolan Cadastre",43796,120.0725035,15.2968652,3,400386.123,1691862.214
ZAMBOANGA,SIRAWAY,"Triangulation Station Naga, Municipality of Siraway, Province of Zamboanga",47903,122.1665953,7.786502778,4A,408075.9504,861033.0407
ZAMBOANGA,SINDAÃGAN,"Triangulation Station SindaÃ±gan N.Base, Municipality of SindaÃ±gan, Province of Zamboanga",47901,122.9940905,8.232313053,4A,499348.9133,910241.718
ZAMBOANGA DEL NORTE,MANUKAN,"MBM No. 11, Pls 29, Manukan Public Land Subdivision",46584,123.024696,8.484248695,4A,502719.1551,938102.2052
ZAMBOANGA DEL NORTE,DIPOLOG,"BLLM No. 36, Cad 85, Dipolog Cadastre",46384,123.308807,8.525721428,4A,533997.7144,942702.0152
ZAMBOANGA DEL SUR,ZAMBOANGA TOWNSITE,"Mon. No. 309, Cad 14, Zamboanga Townsite, Province of Zamboanga del Sur",47680,122.0988438,6.945473539,4A,400414.8628,768036.0234
ZAMBOANGA DEL SUR,DIMATALING,"BLLM No. 12, Pls 250, Dimataling Public Land Subdivision",46969,123.2593833,7.53676337,4A,528625.6091,833334.3651
ZAMBOANGA SIBUGAY,SIBUGAY R. T. LIM,"ZSI 46, PRS 92",47840,122.5148047,7.750038928,4A,446479.8387,856940.7665
ZAMBOANGA SIBUGAY,SIBUGAY IPIL,"ZSI 4008, PRS 92",47797,122.585025,7.815845303,4A,454232.8707,864209.7644
